partida_code,partida,grupo,cuenta,cuenta_nombre,metodo,evidencia,needs_review
AUTO-RSJT-2026-ROW-101,Alimento de animales,Animales,60204005000,Consumibles Animales,criterio,tokens compartidos: animales,false
AUTO-RSJT-2026-ROW-102,Herrajes,Animales,60208005000,Mantenimiento caballos,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-100,Veterinario,Animales,60204002000,Veterinario,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-107,Aportacionea a la comunidad,Aportaciones Comunidad,60207004000,Vinculación comunitaria,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-105,Aportaciones Consumo Electrico,Aportaciones Comunidad,60207003000,Aportaciones Consumo Electrico,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-106,Aportaciones Monjas,Aportaciones Comunidad,60207002000,Aportaciones Monjas,nombre_exacto,nombres idénticos tras normalizar,false
602-08-011-000,Arrendamiento Pick Up JAC,Arrendamiento Vehículos,60202012000,Renta Automóvil,criterio,sin coincidencia léxica — asignación conceptual,false
602-08-003-000,Combustible Campo,Combustible,60204012000,Combustible Campo,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-073,Combustible Casa grande,Combustible,60204011000,Combustible Casa Grande,nombre_exacto,nombres idénticos tras normalizar,false
602-08-004-000,Combustible Seguridad,Combustible,60204013000,Combustible Seguridad,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-092,Aulado de cortinas,Compras de casa (Adquisiciones),60208001000,Mantenimiento blancos y manteleria,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-087,cobija electricas,Compras de casa (Adquisiciones),60208001000,Mantenimiento blancos y manteleria,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-093,colchones,Compras de casa (Adquisiciones),60208001000,Mantenimiento blancos y manteleria,criterio,sin coincidencia léxica — asignación conceptual,false
602-08-018-000,cristaleria,Compras de casa (Adquisiciones),60206001000,Compra de Cristaleria y Art. de Cocina,criterio,tokens compartidos: cristaleria,false
AUTO-RSJT-2026-ROW-091,edredones,Compras de casa (Adquisiciones),60208001000,Mantenimiento blancos y manteleria,criterio,sin coincidencia léxica — asignación conceptual,false
602-09-000-000,manteleria,Compras de casa (Adquisiciones),60208001000,Mantenimiento blancos y manteleria,criterio,tokens compartidos: manteleria,false
AUTO-RSJT-2026-ROW-094,Renovación equipo de computo Oficina,Compras de casa (Adquisiciones),60202009000,Mantenimiento Eqpo. de Computo,criterio,tokens compartidos: computo,false
602-08-012-000,toallas,Compras de casa (Adquisiciones),60208001000,Mantenimiento blancos y manteleria,criterio,sin coincidencia léxica — asignación conceptual,false
OP-003,Gastos extraordinarios,Dirección,60202002000,Gastos Corporativos,criterio,tokens compartidos: gastos,true
602-02-002-000,Licencias de Software,Gastos de Administración y Corporativos,60382000005,Renta de Software,criterio,tokens compartidos: software,false
AUTO-RSJT-2026-ROW-034,Mantenimiento Corporativo (Legal),Gastos de Administración y Corporativos,60202003000,Gastos Legales,criterio,sin coincidencia léxica — asignación conceptual,false
602-02-001-000,Servicios de Personal,Gastos de Administración y Corporativos,60202006000,Worky,criterio,sin coincidencia léxica — asignación conceptual,true
AUTO-RSJT-2026-ROW-035,Servicios Financieros y Contables,Gastos de Administración y Corporativos,60332000000,Servicios Contables,criterio,"tokens compartidos: servicios, contables",false
AUTO-RSJT-2026-ROW-031,Servicio Seguridad,Gastos de Seguridad,60203004000,Servicio Seguridad,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-110,Adquisiciòn de herramientas,Herramientas,60205001000,Adquisiciòn de herramientas,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-111,Adquisiciòn de uniformes,Herramientas,60277000000,Uniformes,criterio,tokens compartidos: uniformes,false
AUTO-RSJT-2026-ROW-113,Reparación / compra electrodomésticos,Herramientas,60202010000,Activos Menores,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-112,Reparacion de herramienta,Herramientas,60205002000,Reparacion de herramienta,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-040,Articulos de limpieza,Mantenimientos,60204014000,Articulos de limpieza,nombre_exacto,nombres idénticos tras normalizar,false
602-04-011-000,Mantenimiento alberca,Mantenimientos,60256000000,Mantenimiento y conservación,criterio,tokens compartidos: mantenimiento,false
AUTO-RSJT-2026-ROW-048,Mantenimiento bombas,Mantenimientos,60208010000,Mantenimiento bombas,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-059,Mantenimiento camaras,Mantenimientos,60208015000,Mantenimiento Eqpo. de Comunicacion,criterio,tokens compartidos: mantenimiento,false
AUTO-RSJT-2026-ROW-050,Mantenimiento copetes alberca,Mantenimientos,60256000000,Mantenimiento y conservación,criterio,tokens compartidos: mantenimiento,false
AUTO-RSJT-2026-ROW-052,mantenimiento cortadoras grandes,Mantenimientos,60205003000,Herramientas de jardineria,criterio,sin coincidencia léxica — asignación conceptual,false
602-03-004-000,Mantenimiento de lavadoras y secadoras,Mantenimientos,60208008000,Mantenimiento Lavanderia,criterio,tokens compartidos: mantenimiento,false
AUTO-RSJT-2026-ROW-045,Mantenimiento equipos refrigeración,Mantenimientos,60208009000,Mantto equipos refrigeración,criterio,"tokens compartidos: equipos, refrigeracion",false
AUTO-RSJT-2026-ROW-057,Mantenimiento invernadero,Mantenimientos,60208017000,Mantenimiento invernadero,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-055,Mantenimiento Invernadero,Mantenimientos,60208017000,Mantenimiento invernadero,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-054,Mantenimiento Motos,Mantenimientos,60208014000,Mantenimiento Moto,criterio,tokens compartidos: mantenimiento,false
AUTO-RSJT-2026-ROW-053,Mantenimiento pintura,Mantenimientos,60208011000,Mantenimiento pintura,nombre_exacto,nombres idénticos tras normalizar,false
602-05-001-000,Mantenimiento Planta de emergencia,Mantenimientos,60208018000,Mantenimeinto Planta de emergencia,criterio,"tokens compartidos: planta, emergencia",false
602-04-012-000,Mantenimiento planta de luz,Mantenimientos,60208018000,Mantenimeinto Planta de emergencia,criterio,tokens compartidos: planta,false
602-03-000-000,Mantenimiento Pozos,Mantenimientos,60208002000,Mantenimiento Pozos,nombre_exacto,nombres idénticos tras normalizar,false
602-03-005-000,Mantenimiento tractores,Mantenimientos,60208004000,Mantenimiento tractores,nombre_exacto,nombres idénticos tras normalizar,false
602-04-006-000,Mantenimiento trasformadores,Mantenimientos,60208019000,Infraestructura e instalaciones,criterio,sin coincidencia léxica — asignación conceptual,false
602-03-001-000,Mantenimiento Vehiculos,Mantenimientos,60207005000,Mantenimiento Vehìculos,nombre_exacto,nombres idénticos tras normalizar,false
602-05-000-000,Mantenimineto Extintores,Mantenimientos,60208016000,Mantenimineto Extintores,nombre_exacto,nombres idénticos tras normalizar,false
602-04-005-000,Mantto equipos hidroneumáticos,Mantenimientos,60208010000,Mantenimiento bombas,criterio,sin coincidencia léxica — asignación conceptual,false
OP-001,Mantenimiento general,Operación,60256000000,Mantenimiento y conservación,criterio,tokens compartidos: mantenimiento,false
OP-002,Servicios y suministros,Operación,60204017000,Consumibles Campo,criterio,sin coincidencia léxica — asignación conceptual,true
AUTO-RSJT-2026-ROW-116,Peajes,Peajes,60204004000,Peajes,nombre_exacto,nombres idénticos tras normalizar,false
AUTO-RSJT-2026-ROW-097,Prediales 2026,Prediales 2026,60207007000,Prediales,criterio,tokens compartidos: prediales,false
AUTO-RSJT-2026-ROW-068,cambio de techo de oficina,Proyectos Especiales,60208019000,Infraestructura e instalaciones,criterio,sin coincidencia léxica — asignación conceptual,false
AUTO-RSJT-2026-ROW-063,Compra de desmalezadoras,Proyectos Especiales,60205001000,Adquisiciòn de herramientas,criterio,sin coincidencia léxica — asignación conceptual,false
