codigo,codigo_norm,nombre,cta_sup,cta_mayor,tipo,rubro_nif,agrupador_sat,es_detalle
8000000,8000000,Cartera de Factoraje,0000000,3,K,,,false
8010000,8010000,Factoraje Deudor,8000000,1,K,,,false
8011000,8011000,Factoraje Nacional,8010000,4,K,,,false
8011001,8011001,"Panera el Roble, S.A. de C.V.",8011000,2,K,,,true
8011002,8011002,"Queso Portales, S.A. de C.V.",8011000,2,K,,,true
8011003,8011003,"Comercializadora Plavicom, S.A. de C.V.",8011000,2,K,,,true
8020000,8020000,Factoraje Acreedor,8000000,1,L,,,false
8021000,8021000,Factoraje Nacional,8020000,4,L,,,false
8021001,8021001,"Panera el Roble, S.A. de C.V.",8021000,2,L,,,true
8021002,8021002,"Queso Portales, S.A. de C.V.",8021000,2,L,,,true
8021003,8021003,"Comercializadora Plavicom, S.A. de C.V.",8021000,2,L,,,true
0000100,0000100,Activo,0000000,2,A,,,false
0000110,0000110,Circulante,0000100,3,A,,,false
1010000,1010000,Fondo Fijo,0000110,1,A,1101,101,false
1011000,1011000,Moneda Nacional,1010000,4,A,1101.01,101.01,false
1011001,1011001,Caja chica,1011000,2,A,1101.01,101.01,true
1020000,1020000,Bancos,0000110,1,A,1101,102,false
1021000,1021000,Moneda Nacional,1020000,4,A,1101.01,102.01,false
1021001,1021001,HSBC 4051430056,1021000,2,A,1101.01,102.01,true
1021002,1021002,BBVA Bancomer 0191090887,1021000,2,A,1101.01,102.01,true
1021003,1021003,Banco STP,1021000,2,A,1101.01,102.01,true
1021004,1021004,Scotianbank,1021000,2,A,1101.01,102.01,true
1021005,1021005,Actinver - Fideicomiso,1021000,2,A,1101.01,102.01,true
1021006,1021006,Actinver-5094355,1021000,2,A,1101.01,102.01,true
1022000,1022000,Moneda Extranjera,1020000,4,A,1101.02,102.02,false
1022002,1022002,Cta Complementaria BBVA Bancomer USD,1022000,2,A,1101.02,102.02,true
1022001,1022001,Cta BBVA Bancomer USD,1022000,2,A,1101.02,102.02,true
1022003,1022003,Cta Soctiabank USD,1022000,2,A,1101.02,102.02,true
1022004,1022004,Cta Complementaria Scotiabank USD,1022000,2,A,1101.02,102.02,true
1023000,1023000,Inversiones,1020000,4,A,1102,103,false
1023003,1023003,Inversion en Pagares Scotiabank,1023000,2,A,1102.01,103.01,true
1023002,1023002,Inversion en Titulos de Credito,1023000,2,A,1102.01,103.01,true
1023001,1023001,Inversion en Renta Fija BBVA,1023000,2,A,1102.01,103.01,true
1023004,1023004,GBM Casa de Bolsa,1023000,2,A,1102.01,103.01,true
1030000,1030000,Cartera de Factoraje,0000110,1,A,1106,106,false
1031000,1031000,Factoraje Nacional,1030000,4,A,1106.03,106.01,false
1031001,1031001,"Panera el Roble, S.A. de C.V.",1031000,2,A,1106.03,106.01,true
1031002,1031002,"Queso Portales, S.A. de C.V.",1031000,2,A,1106.03,106.01,true
1031003,1031003,"Comercializadora Plavicom, S.A. de C.V.",1031000,2,A,1106.03,106.01,true
